method_key,method,beta,target,avg_time,avg_reward,avg_logprob,avg_edit_distance,avg_normalized_edit_distance
unguided,Unguided,10,Linear,1.1608408831059933,0.1692565167720515,-2064.2030853271485,229.85,0.943082889241251
best_of_k,Rejection Sampling,10,Linear,11.496362935379148,0.19842558093202256,-1495.9823150634766,211.35,0.9385994986012873
bootstrap_smc,Bootstrap SMC,10,Linear,3.8090327668935062,3.8368791204224095e-06,-1090.7609512329102,196.3,0.9527958961143833
exact_guidance_u,Exact Guidance,10,Linear,306.96470068208873,0.24429302550571946,-800.129468536377,187.55,0.9525720397213371
unguided,Unguided,10,OOD Sine,1.1519335720688104,0.15935612998327825,-2427.569140625,235.15,0.9185546875
best_of_k,Rejection Sampling,10,OOD Sine,11.546634621545673,0.20535497966424812,-1822.8335906982422,208.0,0.9110075919093361
bootstrap_smc,Bootstrap SMC,10,OOD Sine,3.8041904002428053,2.3003166275348264e-06,-1202.5126586914062,203.5,0.931310751317211
exact_guidance_u,Exact Guidance,10,OOD Sine,316.8116909857839,0.21042559373087855,-1013.7109451293945,204.85,0.9164024472030532
